"ID","value"
1,"BPBP"
2,"BPBPEB"
3,"BPBPEN"
4,"BPBPPG"
5,"BPBPRX"
6,"BPBPSB"
7,"BPBPSE"
8,"BPFN"
9,"BPFNEN"
10,"BPFNPG"
11,"BPFNRX"
12,"BPFNSB"
13,"BPFX"
14,"BPFXEN"
15,"BPFXPG"
16,"BPFXRX"
17,"BPFXSB"
18,"BPPT"
19,"BPPTEN"
20,"BPPTPG"
21,"BPPTRX"
22,"BPPTSB"
23,"EBEB"
24,"EBEBBP"
25,"EBPG"
26,"EBSB"
27,"EE"
28,"EN"
29,"ENEBPT"
30,"ENEN"
31,"ENENBP"
32,"ENENFI"
33,"ENENFN"
34,"ENENFX"
35,"ENENPT"
36,"ENFI"
37,"ENFN"
38,"ENML"
39,"ENMLBP"
40,"ENMLFI"
41,"ENMLFN"
42,"ENPG"
43,"ENPGBP"
44,"ENPGFI"
45,"ENPGFN"
46,"ENPGFX"
47,"ENPGPT"
48,"ENRX"
49,"ENRXBP"
50,"ENRXFI"
51,"ENRXPT"
52,"ENSB"
53,"ENSBBP"
54,"ENSBFI"
55,"ENSBFN"
56,"ENSBPT"
57,"ENSE"
58,"ENSEFI"
59,"EPG"
60,"EPRZ"
61,"FIBP"
62,"FIBPEN"
63,"FIBPPG"
64,"FIEN"
65,"FIFI"
66,"FIFIEN"
67,"FIFIPG"
68,"FIFIRX"
69,"FIFISB"
70,"FIFN"
71,"FIFNEN"
72,"FIFNPG"
73,"FIFNRX"
74,"FIFNSB"
75,"FIPG"
76,"FIPT"
77,"FIRZ"
78,"FNBP"
79,"FNBPEN"
80,"FNBPPG"
81,"FNBPRX"
82,"FNFI"
83,"FNFIEN"
84,"FNFIPG"
85,"FNFIRX"
86,"FNFN"
87,"FNFNEN"
88,"FNFNPG"
89,"FNFNRX"
90,"FNFNSB"
91,"FNFX"
92,"FNFXRX"
93,"FNPT"
94,"FNPTEN"
95,"FNPTPG"
96,"FXFN"
97,"FXFNRX"
98,"FXFX"
99,"FXFXEN"
100,"FXFXRX"
101,"FXRZ"
102,"FZ"
103,"FZFN"
104,"MLEN"
105,"MLML"
106,"MLPG"
107,"MLRX"
108,"MR"
109,"PG"
110,"PGE"
111,"PGEB"
112,"PGEN"
113,"PGENBP"
114,"PGENFI"
115,"PGENFN"
116,"PGENFX"
117,"PGENPT"
118,"PGML"
119,"PGMLFN"
120,"PGPG"
121,"PGPGBP"
122,"PGPGFI"
123,"PGPGFN"
124,"PGPGFX"
125,"PGPGPT"
126,"PGRX"
127,"PGRXBP"
128,"PGRXFN"
129,"PGRXPT"
130,"PGSB"
131,"PGSBBP"
132,"PGSBPT"
133,"PIRZ"
134,"PTBP"
135,"PTBPEN"
136,"PTBPPG"
137,"PTBPRX"
138,"PTBPSB"
139,"PTFN"
140,"PTFNEN"
141,"PTFX"
142,"PTFXEN"
143,"PTFXPG"
144,"PTPT"
145,"PTPTEN"
146,"PTPTML"
147,"PTPTPG"
148,"RXEN"
149,"RXENBP"
150,"RXENFI"
151,"RXENPT"
152,"RXFNRZ"
153,"RXFXRZ"
154,"RXML"
155,"RXPG"
156,"RXPGBP"
157,"RXRX"
158,"RXRXBP"
159,"RXRXFI"
160,"RXRXFN"
161,"RXRXFX"
162,"RXRZ"
163,"RXSB"
164,"RXSBBP"
165,"RZ"
166,"RZFI"
167,"RZFN"
168,"RZFNFX"
169,"RZFX"
170,"RZFXFN"
171,"RZRX"
172,"RZRXFN"
173,"RZRXFX"
174,"SBEB"
175,"SBEN"
176,"SBENBP"
177,"SBENFI"
178,"SBENFN"
179,"SBPG"
180,"SBPGBP"
181,"SBRX"
182,"SBRXBP"
183,"SBSB"
184,"SBSBBP"
185,"SEEN"
