"ID_PE","suivi","DOM_BIO","TYPE_COUV","GR_ESS","CL_AGE","DEP_SUR","CL_DRAI","den","ST","denPIG","STPIG","denEPN","STEPN","DQM","denRel2sp","codSol","codSOl","esse"
219600402,"PEP","5","R","EE","070","1A",40,1550,27.832,0,0,1,1,151.203351663375,1,"Tills","Tills","EPN"
700300601,"PEP","6","R","ENEN","120","7T",50,1000,19.234,0,0,1,1,156.491179954131,1,"Organic","Organic","EPN"
1202600802,"PEP","6","R","ENEN","120","1AM",30,400,6.532,0,0,1,1,144.194319463442,1,"Tills","Tills","EPN"
1202610001,"PEP","6","R","ENEN","120","7E",60,2675,26.302,0,0,0.981308411214953,0.983575393506197,111.889041340946,0.981308411214953,"Organic","Organic","EPN"
1202700502,"PEP","6","R","ENEN","090","4GA",30,1550,34.869,0.225806451612903,0.305600963606642,0.774193548387097,0.694399036393358,169.24231470686,1,"Argiles Mésiques","Argiles Mésiques","EPN"
1202700802,"PEP","6","R","ENEN","120","4GA",40,850,19.591,0,0,1,1,171.30652238847,1,"Argiles Hidriques","Argiles Hidriques","EPN"
1202701101,"PEP","6","R","ENEN","070","1A",30,698,21.199,0,0,0.560171919770774,0.61941601018916,196.645963158208,0.560171919770774,"Tills","Tills","EPN"
1219605401,"PEP","6","R","PGPG","070","2BE",20,1775,24.714,0.774647887323944,0.825564457392571,0.225352112676056,0.174435542607429,133.145778645189,1,"Sables Mésiques","Sables Mésiques","PIG"
1219605601,"PEP","6","R","ENEN","070","1AM",30,3200,35.673,0.0234375,0.0541866397555574,0.9765625,0.945813360244443,119.13788529386,1,"Tills","Tills","EPN"
1219612402,"PEP","6","R","ENEN","070","2BE",30,1675,18.188,0.0447761194029851,0.0749395205630086,0.955223880597015,0.925060479436991,117.5818059833,1,"Sables Mésiques","Sables Mésiques","EPN"
1319611502,"PEP","5","R","ENSB","070","6S",30,1800,29.644,0.0416666666666667,0.117156928889489,0.916666666666667,0.846950479017676,144.806217377511,0.958333333333333,"Sables Mésiques","Sables Mésiques","EPN"
1319616201,"PEP","5","R","ENEN","120","9S",40,1066,22.38,0.437148217636023,0.600804289544236,0.562851782363977,0.399195710455764,163.49576137615,1,"Sables Hidriques","Sables Hidriques","EPN"
1319620701,"PEP","5","R","PGEN","090","1A",40,350,8.216,0.357142857142857,0.484785783836417,0.642857142857143,0.515214216163583,172.882586907532,1,"Tills","Tills","EPN"
1319621802,"PEP","6","R","ENEN","070","1BD",30,1000,23.864,0,0,0.925,0.956964465303386,174.311756618881,0.925,"Tills","Tills","EPN"
1319621901,"PEP","6","R","ENEN","120","1A",40,1400,27.635,0,0,0.964285714285714,0.985091369639949,158.533400759129,0.964285714285714,"Tills","Tills","EPN"
1404700101,"PEP","6","R","ENSB","120","1AM",30,1250,19.15,0,0,0.8,0.809242819843342,139.663989006983,0.8,"Tills","Tills","EPN"
1404700202,"PEP","6","R","ENEN","090","1AM",20,750,9.389,0,0,0.933333333333333,0.933965278517414,126.25078790787,0.933333333333333,"Tills","Tills","EPN"
1519612102,"PEP","5","M","PGENPE","070","1A",30,2150,44.115,0.0232558139534884,0.0231440553099853,0.813953488372093,0.803785560466961,161.632604522254,0.837209302325581,"Tills","Tills","EPN"
1619611902,"PEP","5","R","ENEN","120","1A",40,925,11.446,0,0,1,1,125.519460444634,1,"Tills","Tills","EPN"
1619612002,"PEP","5","R","ENEN","070","1A",40,1250,20.066,0,0,1,1,142.965239704358,1,"Tills","Tills","EPN"
1619612301,"PEP","5","R","ENEN","090","1A",30,1775,36.195,0,0,0.971830985915493,0.974416355850256,161.131396511657,0.971830985915493,"Tills","Tills","EPN"
7009800301,"PEP","5","R","SBEN","070","1A",30,1725,27.355,0,0,0.811594202898551,0.888941692560775,142.095023821794,0.811594202898551,"Tills","Tills","EPN"
7009800302,"PEP","5","R","ENEN","070","1A",40,1675,23.322,0,0,0.582089552238806,0.674298945201955,133.14674356057,0.582089552238806,"Tills","Tills","EPN"
7009901102,"PEP","5","M","PEPEE","070","1AY",20,41,2.596,0,0,0.609756097560976,0.0966872110939908,283.932741010729,0.609756097560976,"Tills","Tills","EPN"
7100300101,"PEP","5","R","PGPG","070","2BE",30,807,22.962,0.659231722428749,0.712045989025346,0.247831474597274,0.204337601254246,190.336968607253,0.907063197026022,"Sables Mésiques","Sables Mésiques","PIG"
7100300501,"PEP","5","R","PGEN","070","1A",31,691,20.569,0,0,0.795947901591896,0.717341630609169,194.68057698688,0.795947901591896,"Tills","Tills","EPN"
7100300502,"PEP","5","R","PGEN","070","1A",30,1500,23.001,0.7,0.723403330289987,0.3,0.276596669710013,139.727789573044,1,"Tills","Tills","PIG"
7100400902,"PEP","6","R","EE","120","1A",40,575,10.28,0,0,1,1,150.875142850708,1,"Tills","Tills","EPN"
7100401102,"PEP","6","R","EE","120","1A",30,800,11.277,0,0,0.96875,0.981555378203423,133.969783654647,0.96875,"Tills","Tills","EPN"
7100605702,"PEP","5","R","MLEN","120","2BE",40,1082,18.538,0,0,0.89279112754159,0.75547524004747,147.697405982989,0.89279112754159,"Sables Hidriques","Sables Hidriques","EPN"
7100607102,"PEP","5","R","ENEN","120","R",10,550,13.228,0,0,0.909090909090909,0.92462957363169,174.993052837465,0.909090909090909,"RocSolMinces","RocSolMinces","EPN"
7100900601,"PEP","6","R","ENEN","120","4GS",20,700,9.359,0,0,1,1,130.473034428993,1,"Sables Mésiques","Sables Mésiques","EPN"
7100900802,"PEP","6","R","EE","120","1BP",20,650,16.325,0,0,0.923076923076923,0.956998468606432,178.82365859567,0.923076923076923,"Tills","Tills","EPN"
