"year","areaTotal_ha","areaZone_ha","zone"
1973,133.477266072,133.477266072,"G10"
1973,42.8223011621,42.8223011622,"G5"
1973,91.4674317836,91.4674317836,"G5"
1973,982.265077825,982.265077826,"G8"
1973,59.9077677299,59.9077677301,"G6"
1973,424.160805719,424.160805719,"G8"
1973,4814.14010107,4315.332393513,"G1"
1973,4247.17307241,4247.17307241624,"G1"
1973,4162.12995008,4162.12995008043,"G1"
1973,433.994879037,433.99487903669,"G1"
1973,314.276077918,314.2760779184,"G3"
1973,278.231459782,278.23145978149,"G3"
1973,378.178695292,378.178695291523,"G1"
1973,574.009158426,574.009158426148,"G1"
1974,706.379811834,706.379811833,"G5"
1974,205.478707748,205.4787077486,"G6"
1974,85.1656717545,85.1656717548,"G5"
1974,4510.23810432,4510.23810432,"G4"
1974,46.8925813228,46.8925813231,"G5"
1974,101.271922835,101.271922835,"G5"
1974,106.539917169,106.539917169,"G5"
1974,511.278829098,511.278829097,"G5"
1974,38.2604759561,38.2604759561,"G4"
1974,43.343092711,43.3430927111,"G4"
1974,487.673387393,487.673387395,"G4"
1974,335.211128825,335.211128826,"G7"
1974,33.744516139,33.744516139,"G5"
1974,405.464280853,405.464280853,"G5"
1974,109.204467832,109.2044678325,"G5"
1974,32.1051909895,32.1051909898,"G5"
1974,276.001931088,276.0019310874,"G5"
1974,114.214637621,114.214637621,"G5"
1974,11166.4050379,11166.4050378559,"G5"
1974,1007.11479309,1007.1147930904,"G6"
1974,2195.80641881,2195.80641881,"G6"
1975,1548.53599686,1548.53599686,"G10"
1975,112.38325585,112.3832558503,"G7"
1975,160.923097076,160.92309707617,"G5"
1975,789.392382832,789.392382834,"G4"
1975,87.6811052192,87.6811052195,"G8"
1975,78.9022001738,60.7996729846,"G7"
1975,1095.77298751,1095.77298750779,"G3"
1975,1017.56545959,1017.565459586,"G3"
1975,4487.55992087,4318.502621859,"G7"
1975,169.475331568,169.475331568,"G8"
1975,101.40800941,101.40800941,"G8"
1975,88.0516748271,88.0516748271,"G9"
1975,30626.7456899,28445.9678815748,"G3"
1975,1323.16517225,1323.16524910003,"G5"
1975,7761.98683124,7761.98683124,"G8"
1976,907.842907854,858.768360601,"G8"
1976,73.6558014357,73.655801436,"G5"
1976,218122.608255,111837.452725224,"G5"
1976,505.036796274,505.036796274,"G6"
1976,1907.5439011,1902.78122905,"G5"
1976,83.1539828499,83.15398285,"G6"
1976,72.1353044786,72.1353044784,"G8"
1976,2379.4765169,2378.51448289,"G9"
1976,97.8229394826,97.822939483,"G8"
1976,250.570509066,250.570509066,"G5"
1976,324.758249934,324.758249935,"G8"
1976,114.208512687,114.208512688,"G8"
1976,114.674507252,114.674507252,"G9"
1976,76.2086662585,76.20866625847,"G6"
1976,971.134795777,971.134795777,"G8"
1976,847.771595612,847.771595612375,"G3"
1976,548.418959597,548.418959598,"G5"
1976,10523.6676374,10523.6676374,"G8"
1976,8157.89616514,8157.8961651396,"G4"
1976,363.645136404,363.64513640339,"G8"
1976,727.007617805,726.987979785,"G8"
1976,2718.51636398,2718.5163639754,"G3"
