"ID","Zone_LN","scenario","period","fireCycle"
1,"G1","RCP85","2011-2015",95
3,"G3","RCP85","2011-2015",95
5,"G5","RCP85","2011-2015",95
6,"G6","RCP85","2011-2015",95
8,"G8","RCP85","2011-2015",95
10,"G10","RCP85","2011-2015",95
2,"G2","RCP85","2011-2015",95
4,"G4","RCP85","2011-2015",95
7,"G7","RCP85","2011-2015",95
9,"G9","RCP85","2011-2015",95
9,"G9","RCP85","2016-2020",82
6,"G6","RCP85","2016-2020",82
7,"G7","RCP85","2016-2020",82
4,"G4","RCP85","2016-2020",82
1,"G1","RCP85","2016-2020",82
8,"G8","RCP85","2016-2020",82
5,"G5","RCP85","2016-2020",82
3,"G3","RCP85","2016-2020",82
10,"G10","RCP85","2016-2020",82
2,"G2","RCP85","2016-2020",82
9,"G9","RCP85","2021-2025",72
6,"G6","RCP85","2021-2025",72
3,"G3","RCP85","2021-2025",72
2,"G2","RCP85","2021-2025",72
7,"G7","RCP85","2021-2025",72
4,"G4","RCP85","2021-2025",72
5,"G5","RCP85","2021-2025",72
8,"G8","RCP85","2021-2025",72
10,"G10","RCP85","2021-2025",72
1,"G1","RCP85","2021-2025",72
8,"G8","RCP85","2026-2030",65
9,"G9","RCP85","2026-2030",65
1,"G1","RCP85","2026-2030",65
6,"G6","RCP85","2026-2030",65
3,"G3","RCP85","2026-2030",65
4,"G4","RCP85","2026-2030",65
7,"G7","RCP85","2026-2030",65
2,"G2","RCP85","2026-2030",65
5,"G5","RCP85","2026-2030",65
10,"G10","RCP85","2026-2030",65
6,"G6","RCP85","2031-2035",59
10,"G10","RCP85","2031-2035",59
3,"G3","RCP85","2031-2035",59
7,"G7","RCP85","2031-2035",59
8,"G8","RCP85","2031-2035",59
9,"G9","RCP85","2031-2035",59
1,"G1","RCP85","2031-2035",59
4,"G4","RCP85","2031-2035",59
2,"G2","RCP85","2031-2035",59
5,"G5","RCP85","2031-2035",59
10,"G10","RCP85","2036-2040",54
5,"G5","RCP85","2036-2040",54
6,"G6","RCP85","2036-2040",54
4,"G4","RCP85","2036-2040",54
7,"G7","RCP85","2036-2040",54
8,"G8","RCP85","2036-2040",54
9,"G9","RCP85","2036-2040",54
3,"G3","RCP85","2036-2040",54
1,"G1","RCP85","2036-2040",54
2,"G2","RCP85","2036-2040",54
8,"G8","RCP85","2041-2045",49
4,"G4","RCP85","2041-2045",49
7,"G7","RCP85","2041-2045",49
10,"G10","RCP85","2041-2045",49
5,"G5","RCP85","2041-2045",49
3,"G3","RCP85","2041-2045",49
6,"G6","RCP85","2041-2045",49
2,"G2","RCP85","2041-2045",49
1,"G1","RCP85","2041-2045",49
9,"G9","RCP85","2041-2045",49
10,"G10","RCP85","2046-2050",46
4,"G4","RCP85","2046-2050",46
6,"G6","RCP85","2046-2050",46
2,"G2","RCP85","2046-2050",46
9,"G9","RCP85","2046-2050",46
1,"G1","RCP85","2046-2050",46
3,"G3","RCP85","2046-2050",46
5,"G5","RCP85","2046-2050",46
7,"G7","RCP85","2046-2050",46
8,"G8","RCP85","2046-2050",46
5,"G5","RCP85","2051-2055",42
1,"G1","RCP85","2051-2055",42
9,"G9","RCP85","2051-2055",42
6,"G6","RCP85","2051-2055",42
10,"G10","RCP85","2051-2055",42
2,"G2","RCP85","2051-2055",42
7,"G7","RCP85","2051-2055",42
3,"G3","RCP85","2051-2055",42
8,"G8","RCP85","2051-2055",42
4,"G4","RCP85","2051-2055",42
9,"G9","RCP85","2056-2060",39
3,"G3","RCP85","2056-2060",39
5,"G5","RCP85","2056-2060",39
4,"G4","RCP85","2056-2060",39
1,"G1","RCP85","2056-2060",39
6,"G6","RCP85","2056-2060",39
10,"G10","RCP85","2056-2060",39
2,"G2","RCP85","2056-2060",39
7,"G7","RCP85","2056-2060",39
8,"G8","RCP85","2056-2060",39
10,"G10","RCP85","2061-2065",35
5,"G5","RCP85","2061-2065",35
7,"G7","RCP85","2061-2065",35
2,"G2","RCP85","2061-2065",35
1,"G1","RCP85","2061-2065",35
6,"G6","RCP85","2061-2065",35
8,"G8","RCP85","2061-2065",35
9,"G9","RCP85","2061-2065",35
4,"G4","RCP85","2061-2065",35
3,"G3","RCP85","2061-2065",35
9,"G9","RCP85","2066-2070",32
6,"G6","RCP85","2066-2070",32
2,"G2","RCP85","2066-2070",32
5,"G5","RCP85","2066-2070",32
4,"G4","RCP85","2066-2070",32
10,"G10","RCP85","2066-2070",32
8,"G8","RCP85","2066-2070",32
3,"G3","RCP85","2066-2070",32
7,"G7","RCP85","2066-2070",32
1,"G1","RCP85","2066-2070",32
9,"G9","RCP85","2071-2075",30
10,"G10","RCP85","2071-2075",30
5,"G5","RCP85","2071-2075",30
3,"G3","RCP85","2071-2075",30
2,"G2","RCP85","2071-2075",30
8,"G8","RCP85","2071-2075",30
4,"G4","RCP85","2071-2075",30
1,"G1","RCP85","2071-2075",30
7,"G7","RCP85","2071-2075",30
6,"G6","RCP85","2071-2075",30
8,"G8","RCP85","2076-2080",27
