"simID","id_ms","fireScenario","year","harvestTotalCumSum_cubMeters_mean","harvestTotalCumSum_cubMeters_p50","harvestTotalCumSum_cubMeters_p25","harvestTotalCumSum_cubMeters_p75","netReturn_mean","netReturn_p50","netReturn_p25","netReturn_p75"
"06","04","Baseline",1,320809.443539235,308807.536272253,296555.696645683,323325.945326844,-3355173.95133552,3777758.23824424,1278578.54629667,4073987.20912895
"06","04","Baseline",2,645092.928024016,625278.134834598,608222.650054115,663870.201334321,-10328461.3896698,5545206.67327329,-11142792.0526269,7942025.10953602
"06","04","Baseline",3,964337.831022181,943050.68171631,915559.613950617,995637.398296184,-10876918.073445,6557407.57742882,-22908305.4745037,10663758.7524024
"06","04","Baseline",4,1282807.48391873,1273753.79126446,1225346.82729166,1316293.95682626,-12596370.5961175,-811184.089060256,-29673457.9643401,13419339.3373893
"06","04","Baseline",5,1601520.05525207,1598105.08025212,1539235.60781092,1637374.25558584,-15035513.0402841,-3014374.73554895,-40638085.7859539,14405117.2142454
"06","04","Baseline",6,1925335.59935607,1906722.3124716,1870608.98835957,1972197.33199612,-17750602.808854,-6990368.85284404,-54082527.1994657,13146607.9457418
"06","04","Baseline",7,2248128.51863349,2229586.56580613,2183985.04311299,2304299.11245556,-18718801.7687896,-7562883.38478851,-56307832.753789,12144680.7692514
"06","04","Baseline",8,2561531.27597679,2541952.58466449,2495039.09940753,2619964.56386762,-16824426.5053191,-8638057.41585758,-52850789.6143625,14076011.4851959
"06","04","Baseline",9,2885423.33804029,2855907.23625076,2805653.79756404,2950521.89817917,-16550647.201946,-12888730.7819477,-53638662.0551418,15064592.416272
"06","04","Baseline",10,3200836.38903215,3168552.27631658,3123767.11772693,3268919.95898937,-15376830.9508079,-9645818.30768017,-52662473.5688925,17225950.1002813
"06","04","Baseline",11,3528397.43741543,3497614.93375853,3451436.37969513,3600516.52515276,-15447736.7355378,-7219261.22824107,-51827741.0759099,17628189.3268251
"06","04","Baseline",12,3849052.32416842,3823298.73615179,3766650.24183762,3919729.37364535,-15950019.4426842,-9650275.36685817,-49271189.5151989,15133954.1296449
"06","04","Baseline",13,4173085.51021511,4151965.54854017,4076973.64339845,4260277.506775,-18559517.2845423,-28421005.2589006,-47942749.4869192,13866705.4050831
"06","04","Baseline",14,4498383.30411634,4462418.19732932,4404407.87510008,4579697.31386311,-20971710.7684003,-31629536.0245444,-46407303.2301048,8203043.1235697
"06","04","Baseline",15,4826643.64500971,4793319.38222415,4737977.10350534,4899489.67354033,-21404340.5811165,-32066218.067052,-46498745.038322,7030950.21335976
"06","04","Baseline",16,5151302.76323294,5111306.53789804,5047861.8393619,5228460.64410748,-20360625.6055471,-28770640.2529855,-48771889.925787,9471841.23118042
"06","04","Baseline",17,5480102.99576923,5450980.84342854,5377302.33797067,5546730.4700416,-20886958.7081731,-30537989.9315256,-47848045.2521982,11012115.6116815
"06","04","Baseline",18,5810295.32966839,5781391.11931862,5704096.43878866,5877823.69627045,-21333464.0170596,-30575839.2212013,-44274185.8799539,539600.308891833
"06","04","Baseline",19,6138770.4279546,6135093.47527616,6039931.716525,6217962.53303174,-21811247.2156243,-29365703.9665485,-44142150.4802365,-8597207.99148768
"06","04","Baseline",20,6468480.42858013,6450229.50046726,6363338.60782147,6556924.86024514,-23029262.4570233,-26778604.9350946,-45224685.6305451,-7100641.13714397
"06","04","Baseline",21,6796612.09739582,6785193.56709188,6681400.55096143,6881469.83528752,-22922994.4608074,-25141598.7458823,-42826211.7549749,-6007590.50429156
"06","04","Baseline",22,7126182.73617292,7119238.64414536,7012884.8422986,7228590.6023935,-23191134.9776224,-22642231.8482346,-44101827.9233345,-8358884.22673581
"06","04","Baseline",23,7453989.53948436,7440891.60996249,7334808.96138985,7541419.40009724,-21515593.33209,-21516782.715892,-43226694.7485956,-6893150.76513617
"06","04","Baseline",24,7783500.93107122,7770197.66465966,7662119.57716506,7884468.89032139,-21359245.9977707,-22179369.6739175,-40460729.7487719,-5855772.41560462
"06","04","Baseline",25,8109886.63277072,8103559.10910351,7976904.14833454,8202946.94988871,-19845633.0994027,-21423509.4136747,-38599103.6348729,-3532295.19730983
"06","04","Baseline",26,8437365.73324088,8429220.12688641,8334595.14337338,8536049.12654514,-18367643.3679379,-18272585.1752251,-35814480.0602848,-1437258.04642048
"06","04","Baseline",27,8760988.86606569,8744466.89994358,8644995.16769606,8869275.11485248,-16778796.6915967,-15238491.2771108,-38343136.5453929,1995551.86511593
"06","04","Baseline",28,9094930.59569134,9075485.41791792,8982859.93976558,9197634.24163061,-15909518.559244,-12985615.79873,-36599227.1819682,2590524.18179609
"06","04","Baseline",29,9426591.90387714,9419854.73307864,9313735.83329958,9517126.08683119,-14832886.7216893,-10797353.6895918,-33703541.3021059,3663695.87855291
"06","04","Baseline",30,9757301.88495672,9742348.5074378,9648780.90605298,9852638.39164194,-13228251.8318451,-10652772.4610204,-31709898.9625087,6705499.09435887
"06","04","Baseline",31,10092985.9614091,10081337.891688,9975018.02271401,10204665.9166436,-12497036.430625,-8604324.82354397,-32439340.4522486,8271175.33189114
"06","04","Baseline",32,10425119.6129723,10415785.9189229,10315965.3493114,10517029.0727144,-11543785.2716314,-8492792.94195513,-29842337.2249421,7897964.50204803
"06","04","Baseline",33,10755880.9192936,10738727.9734473,10648912.858476,10836993.1616926,-9808798.30971276,-6539333.25730719,-27219836.003421,9549205.56372247
