"simID","fire","mgmt","cycleExp","cycleWeib","plantedSp","matThresh","survProbExp","survProbWeib","survProbSim","survProbBaseline"
"04","Baseline","Clearcutting w. post-fire planting ",92.3,92.4,"EN",90,0.377,0.374,0.381,0.41
"04","Baseline","Clearcutting w. post-fire planting ",92.3,92.4,"PG",76,0.439,0.434,0.431,0.471
"05","Baseline","Clearcutting w. post-fire planting (Jack Pine)",94.8,95,"PG",76,0.448,0.442,0.456,0.471
"06","Baseline","Clearcutting & salvage logging w. post-fire planting",94.8,95.1,"EN",90,0.387,0.379,0.393,0.41
"06","Baseline","Clearcutting & salvage logging w. post-fire planting",94.8,95.1,"PG",76,0.449,0.438,0.444,0.471
"07","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine)",96.5,96.6,"PG",76,0.455,0.449,0.457,0.471
"08","Baseline","Var. retention & salvage logging w. post-fire planting",93.3,93.6,"EN",90,0.381,0.375,0.393,0.41
"08","Baseline","Var. retention & salvage logging w. post-fire planting",93.3,93.6,"PG",76,0.443,0.435,0.445,0.471
"09","Baseline","Var. retention & salvage logging w. post-fire planting (Jack Pine)",93.7,94,"PG",76,0.444,0.435,0.445,0.471
"11","RCP 8.5","Var. Reten & salvage logging w. post-fire planting",22,23.2,"EN",90,NA,NA,0.025,NA
"11","RCP 8.5","Var. Reten & salvage logging w. post-fire planting",22,23.2,"PG",76,NA,NA,0.039,NA
"12","RCP 8.5","Var. Reten & salvage logging w. post-fire planting (Jack Pine)",21.8,22.9,"PG",76,NA,NA,0.038,NA
"15","Baseline","Clearcutting & salvage logging, no post-fire, with post-salv planting ",95.6,96.1,"EN",90,0.39,0.384,0.383,0.41
"15","Baseline","Clearcutting & salvage logging, no post-fire, with post-salv planting ",95.6,96.1,"EN",90,0.452,0.444,0.383,0.41
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",99.3,99.6,"EN",90,0.404,0.4,0.398,0.41
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",99.3,99.6,"EN",90,0.465,0.46,0.398,0.41
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",94.7,94.9,"EN",90,0.387,0.38,0.401,0.41
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",94.7,94.9,"PG",76,0.448,0.44,0.45,0.471
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",95.1,95.4,"PG",76,0.45,0.439,0.453,0.471
"22","RCP 8.5","Clearcutting & salvage logging, no post-fire, with post-salv planting ",27.4,30.9,"PG",76,NA,NA,0.051,NA
"23","RCP 8.5","Clearcutting & salvage logging w. post-fire planting, no access constrains",22.2,23.2,"EN",90,NA,NA,0.026,NA
"23","RCP 8.5","Clearcutting & salvage logging w. post-fire planting, no access constrains",22.2,23.2,"PG",76,NA,NA,0.039,NA
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",22.1,23.2,"PG",76,NA,NA,0.04,NA
