"","id_ms","cumulRegenFailurePercent","volAt120Mean_tonnesPerHa","volAt120Mean_percentChange","harvestTotalCumSum_McubMeters","netReturnM_mean"
"1",1,13.4,57.2,-11.6,NA,NA
"2",2,13.6,50.1,-22.5,31.8,437.8
"3",3,12,50.8,-21.5,29,398.1
"4",4,8.5,53.5,-17.3,32.8,-69.6
"5",5,8.3,54.8,-15.2,32.5,-88.3
"6",6,7.9,54.1,-16.4,30,-101.3
"7",7,7.4,55.4,-14.3,29.8,-111.8
"8",8,4,56.7,-12.4,34,-423.9
"9",9,3.6,58.9,-8.9,33.5,-470.7
"10",10,33.7,35.9,-44.5,NA,NA
"11",11,33.9,34.9,-46.1,19.3,265.4
"12",12,20,42.1,-34.8,17.6,-1985
"13",13,18.7,45.8,-29.2,17,-2224.8
"14",14,7.6,48.5,-25,19.8,-3913.9
"15",15,5.1,55.1,-14.7,19.6,-4274.9
